area,bedrooms,bathrooms,stories,parking,mainroad,guestroom,basement,hotwaterheating,airconditioning,prefarea,furnishingstatus,region,price
182,4,1,1,2,no,yes,yes,yes,no,yes,furnished,Kisi (Kishi),191333
179,3,2,1,1,no,no,no,no,no,no,unfurnished,Ibadan,162664
101,5,1,1,2,yes,yes,no,no,no,no,furnished,Erunmu,201623
130,4,3,2,3,yes,yes,yes,yes,yes,yes,unfurnished,Eruwa,203277
168,4,2,2,1,yes,no,yes,no,no,no,furnished,Iresa-Apa,196627
343,3,2,1,3,no,no,no,no,no,no,semi-furnished,Okeho,164704
270,2,2,2,1,no,no,no,no,yes,no,furnished,Igbo-Ora,164979
294,4,1,2,3,yes,no,yes,no,yes,yes,semi-furnished,Jobele,185801
120,5,3,1,0,yes,yes,yes,no,yes,no,furnished,Kisi (Kishi),204336
242,3,1,1,0,no,yes,no,yes,no,yes,unfurnished,Igbo-Ora,156277
112,5,3,2,3,no,yes,yes,yes,yes,yes,furnished,Lalupon,229972
297,3,1,1,2,no,no,no,yes,yes,yes,furnished,Sepeteri,173240
175,4,2,1,2,yes,yes,yes,yes,yes,no,unfurnished,Eruwa,184789
322,4,2,2,0,no,yes,yes,no,no,no,semi-furnished,Erunmu,187657
310,1,1,1,2,no,yes,no,yes,yes,yes,furnished,Igboho,154080
216,5,1,1,1,no,no,yes,yes,no,no,unfurnished,Igbeti,180317
131,4,2,1,1,yes,yes,yes,yes,no,yes,furnished,Sepeteri,190392
299,5,1,1,2,no,no,yes,no,no,no,semi-furnished,Iroko,174426
282,3,1,1,1,no,yes,no,no,no,no,furnished,Tede,164749
266,5,3,2,3,yes,no,yes,no,yes,yes,furnished,Igbeti,214241
278,4,1,1,3,no,yes,no,no,yes,yes,unfurnished,Jobele,177647
230,2,3,1,3,no,no,no,yes,no,no,unfurnished,Oyo,154573
333,4,1,1,3,yes,yes,yes,yes,yes,yes,furnished,Igbeti,195960
133,1,3,1,3,no,no,no,no,no,yes,semi-furnished,Jobele,162147
232,5,2,2,1,no,no,no,yes,no,yes,unfurnished,Iseyin,179859
368,5,3,1,0,no,yes,no,no,yes,yes,semi-furnished,Iroko,203269
317,5,3,2,3,yes,yes,no,yes,no,yes,furnished,Ibadan,219581
383,3,3,2,0,no,yes,no,no,no,yes,semi-furnished,Otu,177672
178,4,1,1,3,yes,yes,no,yes,yes,yes,unfurnished,Igbeti,171080
332,5,3,1,3,yes,no,no,yes,no,yes,semi-furnished,Ayete,200102
